latitude,longitude,name,desc,color,source,precision
39.941942,-75.19732,231 S 34th St Philadelphia,"South 34th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.953335,-75.183643,3000 Chestnut St Philadelphia,"Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.952657,-75.183889,100 S 30th St Philadelphia,"South 30th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.952637,-75.19523,202 S 36th St Philadelphia,"202 South 36th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.951822,-75.190194,220 S 33rd St Philadelphia,"South 33rd Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951822,-75.190194,250 S 33rd St Philadelphia,"South 33rd Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951243,-75.198958,4016 Spruce St Philadelphia,"Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3409 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.94611,-75.198407,3600 Civic Center Blvd Philadelphia,"Civic Center Boulevard, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.955003,-75.193999,3549 Chestnut St Philadelphia,"3549 Chestnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.956471,-75.221454,3025 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.95239,-75.190489,200 S 33rd St Philadelphia,"200 South 33rd Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.938106,-75.201984,120 S 36th St Philadelphia,"South 36th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.953287,-75.224255,4205 Pine St Philadelphia,"Pine Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.947335,-75.193241,3400 Civic Center Blvd Philadelphia,"3400 Civic Center Boulevard, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.950762,-75.203294,100 S 40th St Philadelphia,"South 40th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.955352,-75.199943,100 S 39th St Philadelphia,"South 39th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.954103,-75.201417,3925 Walnut St Philadelphia,"3925 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.958495,-75.199329,51 N 39th St Philadelphia,"51 North 39th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.950762,-75.203294,318 S 40th St Philadelphia,"South 40th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.949948,-75.194096,3400 Spruce St Philadelphia,"3400 Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.953336,-75.194889,3600 Walnut St Philadelphia,"3600 Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.934637,-75.232723,4721 Springfield Ave Philadelphia,"Springfield Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.955508,-75.24658,4400 Osage Ave Philadelphia,"Osage Avenue, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.949948,-75.194096,3400 Spruce St Philadelphia,"3400 Spruce Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,address
39.954387,-75.198498,300 S 38th St Philadelphia,"South 38th Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.956471,-75.221454,3900 Walnut St Philadelphia,"Walnut Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
39.951822,-75.190194,220 S 33rd St Philadelphia,"South 33rd Street, Philadelphia, Philadelphia County, PA, US",,MapQuest Open,street
